Sentence,Token,POS,Dependency,Head Word
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",is,AUX,relcl,firm
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",now,ADV,advmod,is
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",one,NUM,attr,is
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",of,ADP,prep,one
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",the,DET,det,investors
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",biggest,ADJ,amod,investors
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",investors,NOUN,pobj,of
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",in,ADP,prep,investors
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",Google,PROPN,pobj,in
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",",",PUNCT,punct,firm
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",benefited,VERB,acl,firm
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",from,ADP,prep,benefited
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",sales,NOUN,pobj,from
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",of,ADP,prep,sales
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",high,ADJ,amod,speed
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",-,PUNCT,punct,speed
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",speed,NOUN,compound,connections
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",internet,NOUN,compound,connections
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",connections,NOUN,pobj,of
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",and,CCONJ,cc,connections
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",higher,ADJ,amod,sales
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",advert,ADJ,amod,sales
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",sales,NOUN,conj,connections
"The firm, which is now one of the biggest investors in Google, benefited from sales of high-speed internet connections and higher advert sales.",.,PUNCT,punct,firm
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,TimeWarner,PROPN,nsubj,said
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,said,VERB,ROOT,said
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,fourth,ADJ,amod,quarter
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,quarter,NOUN,compound,sales
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,sales,NOUN,nsubj,rose
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,rose,VERB,ccomp,said
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,2,NUM,nummod,%
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,%,NOUN,npadvmod,rose
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,to,ADP,prep,rose
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,$,SYM,nmod,11.1bn
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,11.1bn,NUM,pobj,to
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,from,ADP,prep,rose
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,$,SYM,nmod,10.9bn
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,10.9bn,NUM,pobj,from
TimeWarner said fourth quarter sales rose 2% to $11.1bn from $10.9bn.,.,PUNCT,punct,said
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",Its,PRON,poss,profits
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",profits,NOUN,nsubjpass,buoyed
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",were,AUX,auxpass,buoyed
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",buoyed,VERB,ROOT,buoyed
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",by,ADP,agent,buoyed
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",one,NUM,nummod,gains
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",-,PUNCT,punct,one
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",off,ADP,prt,one
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",gains,NOUN,pobj,by
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",which,PRON,nsubj,offset
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",offset,VERB,relcl,gains
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",a,DET,det,dip
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",profit,NOUN,compound,dip
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",dip,NOUN,dobj,offset
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",at,ADP,prep,dip
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",Warner,PROPN,compound,Bros
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",Bros,PROPN,pobj,at
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",",",PUNCT,punct,Bros
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",and,CCONJ,cc,gains
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",less,ADJ,amod,users
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",users,NOUN,conj,gains
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",for,ADP,prep,users
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",AOL,PROPN,pobj,for
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

",.,PUNCT,punct,buoyed
"Its profits were buoyed by one-off gains which offset a profit dip at Warner Bros, and less users for AOL.

","

",SPACE,dep,.
Time Warner said on Friday that it now owns 8% of search-engine Google.,Time,PROPN,compound,Warner
Time Warner said on Friday that it now owns 8% of search-engine Google.,Warner,PROPN,nsubj,said
Time Warner said on Friday that it now owns 8% of search-engine Google.,said,VERB,ROOT,said
Time Warner said on Friday that it now owns 8% of search-engine Google.,on,ADP,prep,said
Time Warner said on Friday that it now owns 8% of search-engine Google.,Friday,PROPN,pobj,on
Time Warner said on Friday that it now owns 8% of search-engine Google.,that,SCONJ,mark,owns
Time Warner said on Friday that it now owns 8% of search-engine Google.,it,PRON,nsubj,owns
Time Warner said on Friday that it now owns 8% of search-engine Google.,now,ADV,advmod,owns
Time Warner said on Friday that it now owns 8% of search-engine Google.,owns,VERB,ccomp,said
Time Warner said on Friday that it now owns 8% of search-engine Google.,8,NUM,nummod,%
Time Warner said on Friday that it now owns 8% of search-engine Google.,%,NOUN,dobj,owns
Time Warner said on Friday that it now owns 8% of search-engine Google.,of,ADP,prep,%
Time Warner said on Friday that it now owns 8% of search-engine Google.,search,NOUN,compound,engine
Time Warner said on Friday that it now owns 8% of search-engine Google.,-,PUNCT,punct,engine
Time Warner said on Friday that it now owns 8% of search-engine Google.,engine,NOUN,compound,Google
Time Warner said on Friday that it now owns 8% of search-engine Google.,Google,PROPN,pobj,of
Time Warner said on Friday that it now owns 8% of search-engine Google.,.,PUNCT,punct,said
"But its own internet business, AOL, had has mixed fortunes.",But,CCONJ,cc,has
"But its own internet business, AOL, had has mixed fortunes.",its,PRON,poss,business
"But its own internet business, AOL, had has mixed fortunes.",own,ADJ,amod,business
"But its own internet business, AOL, had has mixed fortunes.",internet,NOUN,compound,business
"But its own internet business, AOL, had has mixed fortunes.",business,NOUN,nsubj,has
"But its own internet business, AOL, had has mixed fortunes.",",",PUNCT,punct,business
"But its own internet business, AOL, had has mixed fortunes.",AOL,PROPN,appos,business
"But its own internet business, AOL, had has mixed fortunes.",",",PUNCT,punct,business
"But its own internet business, AOL, had has mixed fortunes.",had,AUX,aux,has
"But its own internet business, AOL, had has mixed fortunes.",has,VERB,ROOT,has
"But its own internet business, AOL, had has mixed fortunes.",mixed,ADJ,amod,fortunes
"But its own internet business, AOL, had has mixed fortunes.",fortunes,NOUN,dobj,has
"But its own internet business, AOL, had has mixed fortunes.",.,PUNCT,punct,has
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",It,PRON,nsubj,lost
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",lost,VERB,ROOT,lost
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.","464,000",NUM,nummod,subscribers
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",subscribers,NOUN,dobj,lost
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",in,ADP,prep,lost
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",the,DET,det,profits
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",fourth,ADJ,amod,quarter
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",quarter,NOUN,compound,profits
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",profits,NOUN,pobj,in
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",were,AUX,advcl,lost
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",lower,ADJ,acomp,were
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",than,ADP,prep,lower
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",in,ADP,prep,than
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",the,DET,det,quarters
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",preceding,VERB,amod,quarters
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",three,NUM,nummod,quarters
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",quarters,NOUN,pobj,in
"It lost 464,000 subscribers in the fourth quarter profits were lower than in the preceding three quarters.",.,PUNCT,punct,lost
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",However,ADV,advmod,said
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",",",PUNCT,punct,said
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",the,DET,det,company
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",company,NOUN,nsubj,said
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",said,VERB,ROOT,said
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",AOL,PROPN,poss,profit
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",'s,PART,case,AOL
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",underlying,ADJ,amod,profit
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",profit,NOUN,nsubj,rose
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",before,SCONJ,mark,rose
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",exceptional,ADJ,amod,items
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",items,NOUN,nsubj,rose
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",rose,VERB,ccomp,said
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",8,NUM,nummod,%
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",%,NOUN,npadvmod,rose
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",on,ADP,prep,rose
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",the,DET,det,back
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",back,NOUN,pobj,on
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",of,ADP,prep,back
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",stronger,ADJ,amod,revenues
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",internet,NOUN,compound,advertising
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",advertising,NOUN,compound,revenues
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",revenues,NOUN,pobj,of
"However, the company said AOL's underlying profit before exceptional items rose 8% on the back of stronger internet advertising revenues.",.,PUNCT,punct,said
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,It,PRON,nsubj,hopes
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,hopes,VERB,ROOT,hopes
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,to,PART,aux,increase
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,increase,VERB,xcomp,hopes
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,subscribers,NOUN,dobj,increase
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,by,ADP,prep,increase
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,offering,VERB,pcomp,by
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,the,DET,det,service
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,online,ADJ,amod,service
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,service,NOUN,dobj,offering
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,free,ADJ,amod,service
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,to,ADP,prep,free
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,TimeWarner,PROPN,compound,customers
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,internet,NOUN,compound,customers
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,customers,NOUN,pobj,to
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,and,CCONJ,cc,increase
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,will,AUX,aux,try
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,try,VERB,conj,increase
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,to,PART,aux,sign
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,sign,VERB,xcomp,try
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,up,ADP,prt,sign
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,AOL,PROPN,poss,customers
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,'s,PART,case,AOL
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,existing,VERB,amod,customers
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,customers,NOUN,dobj,sign
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,for,ADP,prep,sign
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,high,ADJ,amod,speed
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,-,PUNCT,punct,speed
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,speed,NOUN,compound,broadband
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,broadband,NOUN,pobj,for
It hopes to increase subscribers by offering the online service free to TimeWarner internet customers and will try to sign up AOL's existing customers for high-speed broadband.,.,PUNCT,punct,hopes
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",TimeWarner,PROPN,nsubj,has
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",also,ADV,advmod,has
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",has,VERB,ROOT,has
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",to,PART,aux,restate
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",restate,VERB,xcomp,has
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",2000,NUM,dobj,restate
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",and,CCONJ,cc,2000
"TimeWarner also has to restate 2000 and 2003 results following a probe by the US Securities Exchange Commission (SEC), which is close to concluding.

",2003,NUM,nummod,results
