Datetime,Consumption,Festivals/Special_events,Power_Consumption_diff
2018-07-01,146.6354,5,8.985900000000015
2018-08-01,145.5925,6,-1.042900000000003
2018-09-01,136.9204,7,-8.6721
2018-10-01,126.5959,7,-10.3245
2018-11-01,128.0628,6,1.4669000000000096
2018-12-01,138.2203,6,10.157499999999999
2019-01-01,152.0837,8,13.863399999999984
2019-02-01,141.6688,6,-10.414899999999989
2019-03-01,130.3548,9,-11.313999999999993
2019-04-01,124.3254,7,-6.02940000000001
2019-05-01,125.7369,8,1.4115000000000038
2019-06-01,139.0375,8,13.300599999999989
2019-07-01,149.5397,7,10.502200000000016
2019-08-01,150.5159,8,0.9761999999999773
2019-09-01,137.7637,5,-12.752199999999988
2019-10-01,126.4867,6,-11.277000000000001
2019-11-01,127.89,8,1.4033000000000015
2019-12-01,147.7694,5,19.87939999999999
2020-01-01,149.8505,6,2.0811000000000206
2020-02-01,134.4901,8,-15.360399999999998
2020-03-01,136.0396,6,1.5494999999999948
2020-04-01,123.353,5,-12.686600000000013
2020-05-01,127.0805,7,3.7275000000000063
2020-06-01,137.1532,7,10.072699999999998
2020-07-01,147.1538,5,10.000599999999991
2020-08-01,143.9312,6,-3.2226
2020-09-01,133.6154,8,-10.315799999999996
2020-10-01,128.6137,6,-5.0017
2020-11-01,132.3359,5,3.722200000000015
2020-12-01,149.7212,7,17.3853
2021-01-01,164.4048,7,14.683599999999984
